student_id,target_credits,completed_credits,failure_prob
S_0,12,99,0.0506
S_1,13,5,0.0259
S_2,18,37,0.0927
S_3,13,81,0.0081
S_4,17,67,0.0426
S_5,11,52,0.0459
S_6,16,64,0.0721
S_7,19,23,0.0459
S_8,7,51,0.0398
S_9,12,60,0.0089
S_10,16,108,0.065
S_11,14,31,0.013
S_12,16,104,0.1084
S_13,13,77,0.0091
S_14,15,2,0.1055
S_15,14,86,0.1072
S_16,18,4,0.1998
S_17,15,119,0.1049
S_18,16,104,0.0484
S_19,13,35,0.0365
S_20,13,30,0.1354
S_21,13,45,0.0528
S_22,16,42,0.0426
S_23,13,44,0.0273
S_24,15,38,0.0164
S_25,21,74,0.0805
S_26,17,19,0.0179
S_27,14,101,0.1543
S_28,18,97,0.0828
S_29,13,57,0.1072
S_30,8,102,0.0665
S_31,11,29,0.0057
S_32,9,2,0.0619
S_33,13,74,0.0398
S_34,15,54,0.0676
S_35,20,68,0.0042
S_36,15,107,0.0103
S_37,14,116,0.0096
S_38,17,76,0.0892
S_39,8,91,0.0471
S_40,15,10,0.1078
S_41,17,19,0.0482
S_42,10,87,0.049
S_43,18,51,0.0326
S_44,16,53,0.0391
S_45,13,37,0.0175
S_46,16,72,0.0091
S_47,21,22,0.0725
S_48,15,75,0.0371
S_49,15,20,0.0778
S_50,13,7,0.0335
S_51,12,39,0.0246
S_52,17,27,0.071
S_53,12,106,0.122
S_54,15,6,0.1629
S_55,13,21,0.0315
S_56,16,65,0.0702
S_57,16,57,0.0433
S_58,18,5,0.02
S_59,13,0,0.0463
S_60,14,118,0.0554
S_61,12,79,0.1149
S_62,13,43,0.157
S_63,16,56,0.0057
S_64,17,31,0.0567
S_65,12,41,0.0167
S_66,17,77,0.0379
S_67,19,105,0.0179
S_68,16,22,0.0133
S_69,20,100,0.0342
S_70,12,14,0.043
S_71,11,25,0.0652
S_72,9,4,0.0728
S_73,19,16,0.0803
S_74,16,110,0.0304
S_75,14,55,0.0285
S_76,15,9,0.1331
S_77,11,115,0.0505
S_78,21,105,0.0485
S_79,15,90,0.0465
S_80,15,112,0.0801
S_81,17,26,0.0535
S_82,16,100,0.0075
S_83,15,82,0.0059
S_84,12,104,0.0226
S_85,16,95,0.038
S_86,20,41,0.0227
S_87,19,92,0.0679
S_88,19,31,0.0803
S_89,13,39,0.0452
S_90,12,12,0.0177
S_91,14,112,0.0172
S_92,15,34,0.0941
S_93,18,62,0.1116
S_94,9,46,0.1133
S_95,19,115,0.0775
S_96,14,40,0.1378
S_97,13,93,0.0132
S_98,11,102,0.0265
S_99,10,52,0.0848
S_100,17,45,0.01
S_101,15,89,0.0479
S_102,11,109,0.0153
S_103,11,90,0.1104
S_104,13,27,0.0573
S_105,20,106,0.0238
S_106,14,46,0.088
S_107,10,69,0.0276
S_108,14,99,0.0507
S_109,14,22,0.0857
S_110,6,94,0.0161
S_111,14,71,0.0307
S_112,14,107,0.0151
S_113,17,20,0.0423
S_114,20,50,0.0861
S_115,18,99,0.0471
S_116,14,2,0.0645
S_117,11,13,0.0832
S_118,21,118,0.0221
S_119,15,33,0.0279
S_120,15,117,0.0352
S_121,14,21,0.0491
S_122,15,43,0.0233
S_123,14,90,0.1017
S_124,13,78,0.037
S_125,13,69,0.1117
S_126,14,63,0.079
S_127,13,101,0.0237
S_128,12,28,0.0378
S_129,15,53,0.0418
S_130,14,18,0.0211
S_131,19,71,0.0334
S_132,7,30,0.0995
S_133,18,40,0.0477
S_134,18,56,0.0515
S_135,8,3,0.0196
S_136,13,11,0.0119
S_137,13,82,0.0147
S_138,10,51,0.0964
S_139,12,103,0.0813
S_140,11,83,0.0607
S_141,20,0,0.0849
S_142,17,74,0.038
S_143,18,11,0.0066
S_144,17,93,0.0242
S_145,11,118,0.0387
S_146,13,63,0.0284
S_147,16,81,0.0459
S_148,11,28,0.0684
S_149,17,52,0.0149
S_150,14,102,0.1097
S_151,13,20,0.0419
S_152,17,31,0.0637
S_153,16,53,0.042
S_154,13,85,0.0554
S_155,18,45,0.0331
S_156,11,111,0.0231
S_157,16,11,0.0667
S_158,16,44,0.0538
S_159,14,85,0.0382
S_160,15,27,0.0233
S_161,11,78,0.0307
S_162,17,19,0.0422
S_163,14,6,0.0545
S_164,13,14,0.0462
S_165,18,111,0.0623
S_166,12,66,0.0228
S_167,10,95,0.0502
S_168,10,39,0.0408
S_169,16,71,0.0183
S_170,11,59,0.0201
S_171,20,113,0.0429
S_172,8,89,0.0755
S_173,20,87,0.0331
S_174,15,5,0.0525
S_175,14,65,0.0357
S_176,13,56,0.051
S_177,16,111,0.0104
S_178,14,30,0.0095
S_179,18,32,0.019
S_180,15,49,0.0339
S_181,15,29,0.0202
S_182,13,15,0.0426
S_183,14,102,0.0371
S_184,15,66,0.0803
S_185,9,103,0.1158
S_186,10,99,0.0472
S_187,17,33,0.1084
S_188,15,65,0.037
S_189,14,9,0.0276
S_190,15,109,0.1685
S_191,16,48,0.0509
S_192,13,47,0.0166
S_193,12,36,0.0143
S_194,15,55,0.0757
S_195,12,30,0.078
S_196,16,44,0.0372
S_197,9,95,0.0588
S_198,18,100,0.0439
S_199,16,36,0.0118
S_200,15,56,0.1079
S_201,17,104,0.0593
S_202,19,6,0.0499
S_203,18,106,0.0053
S_204,9,26,0.0346
S_205,11,81,0.0334
S_206,13,69,0.0148
S_207,15,66,0.0141
S_208,16,103,0.0525
S_209,12,12,0.013
S_210,15,41,0.0246
S_211,12,64,0.0323
S_212,13,97,0.0096
S_213,10,25,0.0429
S_214,12,96,0.01
S_215,10,47,0.0218
S_216,12,22,0.008
S_217,18,91,0.02
S_218,12,10,0.0027
S_219,21,61,0.05
S_220,16,7,0.0134
S_221,15,42,0.055
S_222,12,72,0.0424
S_223,17,66,0.0211
S_224,13,48,0.0208
S_225,15,51,0.055
S_226,21,27,0.0275
S_227,14,54,0.016
S_228,18,114,0.0531
S_229,12,102,0.0309
S_230,14,17,0.0471
S_231,20,3,0.0456
S_232,13,112,0.0649
S_233,20,63,0.0642
S_234,17,64,0.0543
S_235,13,93,0.044
S_236,16,37,0.0748
S_237,17,57,0.011
S_238,16,116,0.0385
S_239,10,80,0.0478
S_240,12,18,0.0646
S_241,14,15,0.0406
S_242,14,24,0.1523
S_243,16,92,0.0348
S_244,15,35,0.0254
S_245,10,2,0.0292
