student_id,target_credits,completed_credits,failure_prob
S_0,14,102,0.0509
S_1,19,32,0.0161
S_2,14,38,0.0312
S_3,15,7,0.0372
S_4,12,117,0.0524
S_5,14,95,0.0552
S_6,12,17,0.0208
S_7,14,58,0.0088
S_8,12,40,0.001
S_9,13,3,0.0203
S_10,13,111,0.0224
S_11,13,100,0.0329
S_12,12,118,0.136
S_13,14,29,0.0567
S_14,7,83,0.0067
S_15,17,14,0.0187
S_16,16,51,0.0454
S_17,16,101,0.0292
S_18,14,0,0.0712
S_19,18,57,0.0077
S_20,12,52,0.0202
S_21,10,82,0.0329
S_22,15,28,0.0769
S_23,20,20,0.097
S_24,19,78,0.0432
S_25,17,76,0.0574
S_26,21,90,0.0541
S_27,13,29,0.0451
S_28,13,1,0.0692
S_29,14,105,0.0832
S_30,7,24,0.0313
S_31,19,50,0.0909
S_32,15,56,0.0233
S_33,13,22,0.0664
S_34,14,62,0.0521
S_35,12,109,0.0174
S_36,15,32,0.0855
S_37,13,62,0.012
S_38,13,37,0.0352
S_39,12,117,0.0487
S_40,15,26,0.0276
S_41,13,13,0.0591
S_42,19,17,0.0113
S_43,16,44,0.058
S_44,11,66,0.0873
S_45,16,80,0.0415
S_46,16,67,0.0665
S_47,15,108,0.0283
S_48,14,43,0.0963
S_49,18,85,0.0709
S_50,11,32,0.0506
S_51,14,81,0.0452
S_52,9,111,0.0454
S_53,16,117,0.1082
S_54,14,87,0.0444
S_55,12,113,0.0766
S_56,15,81,0.021
S_57,19,115,0.0298
S_58,15,107,0.0121
S_59,10,12,0.0652
S_60,14,56,0.0296
S_61,15,41,0.0702
S_62,12,3,0.1462
S_63,21,56,0.0091
S_64,10,17,0.0519
S_65,7,4,0.1064
S_66,12,53,0.0872
S_67,9,27,0.0173
S_68,17,112,0.0402
S_69,18,97,0.0669
S_70,10,114,0.061
S_71,11,105,0.0333
S_72,11,87,0.029
S_73,14,71,0.0276
S_74,16,7,0.0188
S_75,19,31,0.0273
S_76,16,85,0.0722
S_77,13,48,0.0302
S_78,13,39,0.0437
S_79,15,12,0.0143
S_80,15,8,0.0817
S_81,14,25,0.0595
S_82,15,100,0.0472
S_83,14,79,0.0165
S_84,10,40,0.0316
S_85,15,7,0.0768
S_86,12,22,0.013
S_87,15,53,0.0313
S_88,16,18,0.1198
S_89,18,91,0.0336
S_90,14,94,0.0135
S_91,13,16,0.0131
S_92,17,87,0.0589
S_93,15,61,0.0777
S_94,20,115,0.0132
S_95,10,94,0.0334
S_96,13,70,0.1115
S_97,12,72,0.0985
S_98,20,21,0.027
S_99,16,107,0.0826
S_100,9,67,0.0171
S_101,9,68,0.0398
S_102,17,69,0.0049
S_103,11,33,0.025
S_104,15,97,0.0511
S_105,14,103,0.0858
S_106,20,34,0.0294
S_107,14,53,0.028
S_108,13,21,0.0349
S_109,16,28,0.0332
S_110,18,40,0.0251
S_111,15,108,0.0279
S_112,8,75,0.0631
