univ_name,semester,total_courses_demanded,courses_scheduled,bottleneck_severity,final_status,llm_retries,z3_latency_ms,total_cycle_time_ms
Univ_A_Centralized,1,80,80,0.0,FALLBACK_OPTIMIZED,3,15.237637009704486,2162531.615193002
Univ_A_Centralized,2,80,80,0.0,FALLBACK_OPTIMIZED,3,16.50919797248207,2530640.209542995
Univ_A_Centralized,3,80,20,0.5546,MAS_VERIFIED,3,30.60548601206392,2168472.2573980107
Univ_A_Centralized,4,80,80,0.0,FALLBACK_OPTIMIZED,3,9.07604896929115,1446615.9775940177
Univ_A_Centralized,5,80,20,1.0,MAS_VERIFIED,2,20.939893991453573,1715688.7029130012
Univ_A_Centralized,6,80,80,0.0,FALLBACK_OPTIMIZED,3,16.169727023225278,2448112.825892022
Univ_A_Centralized,7,80,80,0.0,FALLBACK_OPTIMIZED,3,10.450518020661548,2810110.67578799
Univ_A_Centralized,8,80,20,1.0,MAS_VERIFIED,2,20.35225898725912,1906610.2341140213
Univ_B_Elective,1,120,10,0.9219,MAS_VERIFIED,2,15.2742599893827,980253.0229400145
Univ_B_Elective,2,120,20,1.0,MAS_VERIFIED,3,19.26361402729526,4682829.706717981
Univ_B_Elective,3,120,120,0.0,FALLBACK_OPTIMIZED,3,0.0,6393852.096594026
Univ_B_Elective,4,120,120,0.0,FALLBACK_OPTIMIZED,3,3.5585479927249253,3772014.0888110036
Univ_B_Elective,5,120,120,0.0,FALLBACK_OPTIMIZED,3,6.015763967297971,2893093.353419041
Univ_B_Elective,6,120,120,0.0,FALLBACK_OPTIMIZED,3,0.0,6273096.677656984
Univ_B_Elective,7,120,120,0.0,FALLBACK_OPTIMIZED,3,0.0,6276085.410999949
Univ_B_Elective,8,120,120,0.0,FALLBACK_OPTIMIZED,3,8.54926201282069,5713134.359748045
